Date / Time,City,State,Shape,Duration,Summary,Posted
4/30/2018 23:40,Greenville,NC,Light,3 seconds,"I was outside on my back porch speaking to my dad on the phone, and a star like object moved across the sky.",5/15/2018
4/30/2018 22:15,?????,WA,Rectangle,,"This object was not a drone. It was too big, maybe 150 ft wide and long, wifi knocked out. ((MUFON report))",5/10/2018
4/30/2018 22:15,Zeeland,MI,Unknown,5 minutes,Bright light low in the northern sky flashed and disappeared.,5/4/2018
4/30/2018 22:00,Pilot Rock,OR,Sphere,1 minute,"Green object traveling west to east over Pilot Rock, Oregon",5/4/2018
4/30/2018 21:13,Elco,PA,Light,3 minutes,"I first saw a tiny dot at very high altitude, way too high to be an airliner, so I checked the position of the ISS and determined it wa",5/4/2018
4/30/2018 21:07,Oshawa (Canada),ON,Light,On and off two- one half,Four Separate UFO Sightings Within Two And One Half hours,5/10/2018
4/30/2018 21:00,Greenville,PA,Changing,90 minutes,Lite bigger brighter than any star ive seen W sky 9:30 pm colors stayed one spot for an hour 1/2 loud boom. ((NUFORC Note: Venus? PD)),5/4/2018
4/30/2018 21:00,Sydney (Canada),NS,Triangle,20 mintes,Triangular blinking lights always at the same time but offsetting and same distance apart very large flew right over city.,7/25/2019
4/30/2018 19:55,Biloxi,MS,Fireball,10 seconds,19:55 central time fireball traveling South to North.,5/4/2018
4/30/2018 19:38,Burnaby (Canada),BC,Circle,10:00 minutes,2 black dots moving at normal speed. never seen anything like it. Moving south west to north east. I dont know if there were more then,5/4/2018
4/29/2018 23:56,Minneapolis,MN,Disk,7 minutes,((HOAX??)) Bright moving object in Minneapolis. ((anonymous report)),5/4/2018
4/29/2018 21:15,Benson,AZ,Rectangle,10mun,3 red lights blinking but they were far apart. At first we were not sure if they were moving.,5/4/2018
4/29/2018 20:39,East Peoria,IL,Light,15 minutes,Bright white light turns out to be 3 lights in triangle formation. ((anonymous report)),5/4/2018
4/29/2018 20:00,Foyil,OK,Formation,All night,On April 29th me and my wife witnessed first 2 small craft one with a lot of red lights and some white lights and the other was shaped,5/4/2018
4/29/2018 17:30,Johnson City,TN,Unknown,5 minutes,"3-4 Reflective Objects At Low Altitude Over Johnson City, Tennessee.",5/4/2018
4/29/2018 17:20,Cypress,CA,Oval,10min,"We looked out the window, which faces eastward. At first we thought it may be the Goodyear blimp. However, it disappeared twice, t",5/4/2018
4/29/2018 11:00,NW Las Vegas,NV,Circle,45 seconds,"Solid red light approached, about 200 feet elevation, then left after approximately 45 seconds before moving up to disappear",5/4/2018
4/29/2018 0:45,Hartford,CT,Sphere,30 seconds,Driving down 84 West towards Flatbush Ave exit. I spotted 3 floating orbs in almost a triangular formation. They were too high to be dr,5/4/2018
4/28/2018 23:45,Ipswich (UK/England),,Oval,2 hours,Last night I had a similar event that I had on On the 04/04/2017.,5/4/2018
,,,,,,
,,,,,The weather was raining and I sleep with a small bedroom window op,
4/28/2018 22:30,Columbia,MS,Disk,60 seconds,They were covered in purple lights.,5/10/2018
4/28/2018 22:00,Fountain Inn,SC,Light,1 hour,kids wife and I were walking around on our 22 acres pretty open land on 6/5/17 and noticed a really bright light in the sky.,5/4/2018
4/28/2018 21:50,Suffolk,VA,Circle,Still ongoing,Two hovering ufos in my neighborhood skyline.,5/4/2018
4/28/2018 21:40,Largo,FL,Other,10 seconds,Traveling E to W 1 or possibly 2 objects. A Purple Object. It was Bright Purple then dark in the middle then Bright Purple again.,5/4/2018
4/28/2018 20:45,Fort Bragg,CA,Light,5 minutes,"Raised from western horizon, heading north and increasing in altitude. Thought it was a drone at first, red and white lights. Faded f",5/4/2018
4/28/2018 20:00,Leskovac (Serbia),,Circle,8 minutes,Started with light.. then light went off. Object continues hovering.,5/4/2018
4/28/2018 16:43,Joliet,IL,Changing,~9 minutes,Object with alternating apperance transverses sky.,5/4/2018
4/28/2018 8:00,Winter Park,FL,Changing,0,I took a video of this object flying over the skies and hovering there for over 30 minutes. It has appeared several days now. But last,5/4/2018
4/28/2018 0:49,Asheville,NC,Unknown,2 minutes,"At 12:49 AM, I heard two loud booms. In about two seconds, I heard another loud boom. This process was repeated until I heard four more",5/4/2018
4/27/2018 23:45,Clearwater,FL,Flash,4.5 seconds,Large Bright Flash.,5/4/2018
4/27/2018 20:45,Milton,GA,Fireball,1 minute,2 fireballs hovering over Hwy 9. Suddenly they started to get higher and disapppeared in a matter of seconds.,5/4/2018
4/27/2018 11:00,Cordele,GA,Circle,2 minutes,Large white disk like circle. ((anonymous report)),5/4/2018
4/27/2018 5:00,Reading,PA,Flash,5 minutes,A white flash of very very bright white!,5/4/2018
4/27/2018 1:21,Arlington,WA,Light,2 minutes,Infra red orb of light seen on security monitor moving strangely above the tree line.,5/4/2018
